edges,resolution,precision,recall,f1rp,recovery,relevance,f1rr,f1rprr
1000,1.0,0.0032889844766079476,0.019755562863389232,0.00563914219061832,0.14150252365347799,0.15201189730545567,0.1465690648098332,0.010860436680738897
1000,1.5,0.0032889844766079476,0.019755562863389232,0.00563914219061832,0.14150252365347799,0.15201189730545567,0.1465690648098332,0.010860436680738897
1000,2.0,0.0032889844766079476,0.019755562863389232,0.00563914219061832,0.14150252365347799,0.15201189730545567,0.1465690648098332,0.010860436680738897
1000,2.5,0.0032889844766079476,0.019755562863389232,0.00563914219061832,0.14150252365347796,0.15201189730545567,0.1465690648098332,0.010860436680738897
1000,3.0,0.0032889844766079476,0.019755562863389232,0.00563914219061832,0.14150252365347799,0.15201189730545567,0.1465690648098332,0.010860436680738897
1000,3.5,0.0032889844766079476,0.019755562863389232,0.00563914219061832,0.14150252365347799,0.15201189730545567,0.1465690648098332,0.010860436680738897
1000,4.0,0.0032889844766079476,0.019755562863389232,0.00563914219061832,0.14150252365347799,0.15201189730545567,0.1465690648098332,0.010860436680738897
1000,4.5,0.0032889854066050317,0.01976065904796412,0.005639351128539264,0.14041425242386438,0.15201218289114624,0.1459832247860007,0.010859209566637997
1000,5.0,0.0032889854066050317,0.01976065904796412,0.005639351128539264,0.1404142524238644,0.15201218289114624,0.1459832247860007,0.010859209566637997
1000,5.5,0.002156815730632772,0.018124608531316585,0.003854900946502587,0.13925380405672505,0.1521403489356259,0.14541213076680753,0.007510692134650924
1000,6.0,0.001913829758329235,0.01788541985929209,0.003457671318660633,0.139253804056725,0.14985493148802975,0.14436000508284638,0.006753582674116128
1000,6.5,0.0016754741489316328,0.01728468520917934,0.0030548312061535613,0.13819638159864792,0.14903165349580086,0.14340964488379926,0.0059822322811624445
1000,7.0,0.0016538550862468147,0.017153052385758524,0.0030168344237427045,0.13635491177470419,0.1485117501007109,0.1421739311239285,0.005908298753789049
1000,7.5,0.001574317760324645,0.017020755142186598,0.002882062066114579,0.13592802757431338,0.14910995487708006,0.14221418411556877,0.005649630725659069
1000,8.0,0.0015794250661757326,0.01704343080117854,0.0028909445482206016,0.13410822875232262,0.14903980706444786,0.14118031567017617,0.005665869282798742
1000,8.5,0.0015739177333530404,0.017038616670719053,0.0028816474261540966,0.1333687211512538,0.14916141157647397,0.14082368146013896,0.0056477265299221665
1000,9.0,0.001575153355148394,0.017012151017308238,0.002883338672057543,0.13160852997316966,0.14909667625228398,0.1398078407543934,0.005650150983744398
1000,9.5,0.0015739177333530404,0.017036677253823376,0.0028816196866012435,0.1333681291641866,0.14916141157647397,0.14082335145055933,0.005647672988094177
1500,1.0,0.004209537577210882,0.023831876076398414,0.007155215433735418,0.13844654020630046,0.19042409889569867,0.16032782820624636,0.013699060226115431
1500,1.5,0.004209537577210882,0.023831876076398414,0.007155215433735418,0.13844654020630046,0.19042409889569867,0.16032782820624636,0.013699060226115431
1500,2.0,0.004209537577210882,0.023831876076398414,0.007155215433735418,0.13844654020630046,0.19042409889569867,0.16032782820624636,0.013699060226115431
1500,2.5,0.004209537577210882,0.023831876076398414,0.007155215433735418,0.13844654020630046,0.19042409889569867,0.16032782820624636,0.013699060226115431
1500,3.0,0.004209537577210882,0.023831876076398414,0.007155215433735418,0.13844654020630043,0.19042409889569867,0.16032782820624636,0.013699060226115427
1500,3.5,0.004209537577210882,0.023831876076398414,0.007155215433735418,0.13844654020630043,0.19042409889569867,0.16032782820624636,0.013699060226115427
1500,4.0,0.004209537577210882,0.023831876076398414,0.007155215433735418,0.13844654020630046,0.19042409889569867,0.16032782820624636,0.013699060226115431
1500,4.5,0.004184777104739311,0.023678959536645103,0.007112554142205503,0.13751878874884604,0.1901994050410756,0.1596248990604821,0.01361830488836406
1500,5.0,0.004184777104739311,0.023678959536645103,0.007112554142205503,0.13751878874884604,0.1901994050410756,0.1596248990604821,0.01361830488836406
1500,5.5,0.002748592746990605,0.021808562498480764,0.004881905587714172,0.13615647188523508,0.18962895886871425,0.15850438705673456,0.009472073089183634
1500,6.0,0.002748336199298981,0.02181122022939642,0.004881567489329175,0.13529549259235216,0.18962924227436137,0.15791953637477602,0.009470388792210292
1500,6.5,0.002748336199298981,0.02181122022939642,0.004881567489329175,0.13529549259235216,0.18962924227436137,0.15791953637477602,0.009470388792210292
1500,7.0,0.0023531696654553176,0.021304876209849187,0.004238218886508308,0.13533294454289652,0.18845890081902217,0.15753761769168745,0.008254371243058993
1500,7.5,0.0023520640463669043,0.021097623097724373,0.004232291923302795,0.13366160599200536,0.18800352774523693,0.1562423204444523,0.008241342367348983
1500,8.0,0.0023214425779147637,0.02107288170930807,0.004182166942608992,0.1330151844416853,0.18839358422112748,0.1559335637111559,0.008145860406510597
1500,8.5,0.0023481310014817117,0.021306503109932328,0.004230076884719808,0.1330749908184579,0.18842998151014673,0.15598712441533202,0.008236787610182717
1500,9.0,0.0022248910925980175,0.02080872854207158,0.00401996347216396,0.13225083438244054,0.1884752209306712,0.15543486296529196,0.007837234975968204
1500,9.5,0.0021938036193621846,0.020667968645792793,0.003966574760182706,0.12964582360270152,0.18791468112594534,0.15343440534224914,0.007733230621285121
2000,1.0,0.005288656854389282,0.02805221401625039,0.008899499626956884,0.1465931058113416,0.21271651182677737,0.17357049516803197,0.016930899337550084
2000,1.5,0.005288656854389282,0.02805221401625039,0.008899499626956884,0.14659310581134163,0.21271651182677737,0.173570495168032,0.016930899337550084
2000,2.0,0.005288656854389282,0.02805221401625039,0.008899499626956884,0.1465931058113416,0.21271651182677737,0.17357049516803197,0.016930899337550084
2000,2.5,0.005209246297986514,0.02773261198542932,0.008770968843085801,0.14567440274485777,0.2121810711519309,0.17274767646972736,0.01669431242636639
2000,3.0,0.005209246297986514,0.02773261198542932,0.008770968843085801,0.14567440274485777,0.2121810711519309,0.17274767646972736,0.01669431242636639
2000,3.5,0.005021300978821205,0.027676627034506615,0.008500396377543653,0.1448304503981991,0.21231106846101536,0.17219564820103186,0.01620103270783363
2000,4.0,0.005021300978821205,0.027676627034506615,0.008500396377543653,0.1448304503981991,0.21231106846101536,0.17219564820103186,0.01620103270783363
