edges,iterations,precision,recall,f1rp,recovery,relevance,f1rr,f1rprr
3000,17,0.006707676853699503,0.010509460024892532,0.008188825151469277,0.12606572022530005,0.07511568752685475,0.09413904946880068,0.015067022917972767
3000,18,0.006707676853699503,0.010509460024892532,0.008188825151469277,0.12606572022530005,0.07511568752685475,0.09413904946880068,0.015067022917972767
3000,19,0.006707676853699503,0.010509460024892532,0.008188825151469277,0.12606572022530005,0.07511568752685475,0.09413904946880068,0.015067022917972767
3500,1,0.007077652727518173,0.009884546480998568,0.008248858122877484,0.1175649061616979,0.0655279908340267,0.0841517308401848,0.015024919132772003
3500,2,0.006702209577353803,0.009228257077550327,0.007764959345795515,0.11200108370717089,0.06407406688603702,0.08151479529717043,0.014179229638222142
3500,3,0.006843086160266962,0.00943501547538,0.007932696977402969,0.11196713732121437,0.06426615063271666,0.081661041413246,0.01446066004224345
3500,4,0.006848834756569562,0.009446468937692281,0.00794060742913357,0.10939474340327265,0.06432066182935799,0.08100999778262137,0.014463501146404082
3500,5,0.006914836808234724,0.009517131666324887,0.008009924368709372,0.11464359517997187,0.06407643293152751,0.08220626099046588,0.014597512199091165
3500,6,0.006848834756569562,0.009446468937692281,0.00794060742913357,0.10939474340327265,0.06432066182935799,0.08100999778262137,0.014463501146404082
3500,7,0.006844438588866185,0.009438537635928546,0.007934850524370835,0.11225391847018526,0.06422271741238929,0.08170205249312487,0.014464881142551492
3500,8,0.006834278470529513,0.009432292950680403,0.007925814847068441,0.11164112110029396,0.06410683515706564,0.08144571464200846,0.01444584551769648
3500,9,0.006844438588866185,0.009438537635928546,0.007934850524370835,0.11225391847018526,0.06422271741238929,0.08170205249312487,0.014464881142551492
3500,10,0.006917571050477669,0.009528323296649118,0.00801572137157835,0.11164523572853795,0.06417555103465335,0.08150224618119711,0.014595936757860547
3500,11,0.006917722921679916,0.009520383201722965,0.008013012278095906,0.11468732052354084,0.06410442179766024,0.08224053610346996,0.014603180426064953
3500,12,0.0068446192977095945,0.009434032546229851,0.007933379476407387,0.11194629097783959,0.06425865252104032,0.08164944376841496,0.014461612125846028
3500,13,0.0068446192977095945,0.009434032546229851,0.007933379476407387,0.11194629097783959,0.06425865252104032,0.08164944376841496,0.014461612125846028
