edges,resolution,precision,recall,f1rp,recovery,relevance,f1rr,f1rprr
1000,1.0,0.006871654273028349,0.015013984000187882,0.009428183544121851,0.1699191276541162,0.14265443688386328,0.15509768081075176,0.017775799661472216
1000,1.5,0.007044205250593218,0.015575193947767022,0.009700952887716115,0.1752002113530562,0.1463896935834064,0.1595044176575703,0.018289547620056773
1000,2.0,0.007036601490074965,0.01549129911282006,0.009677430697333459,0.17501688910278204,0.14599621205138288,0.15919476658214024,0.01824570705889781
1000,2.5,0.007036601490074965,0.01549129911282006,0.009677430697333459,0.17501688910278204,0.14599621205138288,0.15919476658214024,0.01824570705889781
1000,3.0,0.007037597088941738,0.015669470838124172,0.009712872019394128,0.17408163967166823,0.14755551609060893,0.15972474400711054,0.01831217923449625
1000,3.5,0.007011605180200328,0.015660643766839833,0.009686401310901382,0.17185933710909068,0.1476992425649396,0.15886598284807787,0.018259482619549523
1000,4.0,0.007011564769019645,0.0156600731382611,0.009686253595399992,0.17183810970661995,0.14767824846719554,0.15884476905299844,0.018259080033710448
1000,4.5,0.007627274232173137,0.017522916372065295,0.010628316152375777,0.177859048968812,0.15226217532023323,0.16406824950259866,0.01996340591748588
1000,5.0,0.007791368405743228,0.018494845575850263,0.010963933839211955,0.18119943082875242,0.15753347455910904,0.16853972833788486,0.020588531825631997
1000,5.5,0.007732238029430391,0.018123036263774334,0.010839693953224185,0.16852837517538108,0.15715763130808225,0.16264450865872557,0.020324809642485196
1000,6.0,0.007723268111560212,0.018045391571319753,0.010816969062305148,0.1511134240824252,0.15627082592008076,0.15364885864373007,0.02021106723006795
1000,6.5,0.00773225931169605,0.01825008218129548,0.010862328779998853,0.13755308827406837,0.1580792321573426,0.14710358152657224,0.02023078858161113
1000,7.0,0.007807215749713595,0.01850817939826972,0.010981963134820692,0.12486111546981943,0.15870406825109146,0.13976304658707897,0.02036382667739545
1000,7.5,0.007472840432901355,0.018196871697613866,0.010594767707784022,0.11881986330262113,0.15828925850697714,0.13574369501264705,0.019655432887836197
1000,8.0,0.007270064011258613,0.01834038147177229,0.010412606635759792,0.1063779590807599,0.15842498688113027,0.1272865504618384,0.01925044143941285
1000,8.5,0.006493486213386554,0.01774050426306779,0.009507119346496548,0.10038662443363384,0.15906100048374086,0.12308917395319757,0.017650922780922458
1000,9.0,0.006343493814585965,0.017789350472528373,0.00935212056609836,0.09632367797761922,0.16073515243576075,0.12045959314455731,0.017356717760341554
1000,9.5,0.006075578581700036,0.01790415154238832,0.009072502406953722,0.09393576971650934,0.16410593604695678,0.11948004584770248,0.01686443432282502
1500,1.0,0.006954563112898921,0.01324885664465632,0.009121229060694645,0.16497210013739008,0.13123461890616478,0.14618203639395885,0.017171047042760644
1500,1.5,0.007099388604299472,0.013653167236806273,0.009341417089608253,0.16369655206025963,0.13589512894533728,0.14850588624802644,0.017577182433549717
1500,2.0,0.007174141340128971,0.014008642020182843,0.009488835921756996,0.16422125826576517,0.13947447697879983,0.15083961641392798,0.017854502426753075
1500,2.5,0.007166601555856498,0.013952688751301226,0.009469386466984375,0.1640616743072794,0.1391551810407566,0.15058550728569836,0.01781829135469678
1500,3.0,0.007192240444276318,0.014191963441400684,0.009546487116623505,0.16528944337582668,0.1433357548264369,0.1535317742628959,0.017975284904247286
1500,3.5,0.007220912010375316,0.014456229569164319,0.009631081786101276,0.167651201925418,0.14616653809016938,0.15617342595658945,0.01814328281759097
1500,4.0,0.007169970280712766,0.014493811683701866,0.009593911090601932,0.16259396349736743,0.14664661727701123,0.1542090929776594,0.01806399505070731
1500,4.5,0.00736026523803714,0.014990386694234924,0.009872930993212048,0.16838346483659508,0.14956980767636027,0.15842002349865736,0.01858746808109354
1500,5.0,0.00734706027896146,0.01510934141871737,0.00988664556977531,0.16605854302282108,0.15063697927993558,0.15797228279515368,0.018608673188340346
1500,5.5,0.007792439545717294,0.01645170383933772,0.010575659907300403,0.16530185350658944,0.1530596009753173,0.1589453458137587,0.019831783253345177
1500,6.0,0.007707038270980377,0.016202725962781724,0.010445525758303771,0.1480577871394365,0.15254463102822896,0.15026772337835317,0.019533241765967626
1500,6.5,0.007694166609175672,0.016298388264018977,0.010453452366967363,0.13456149618115695,0.15433897654450432,0.14377327532183223,0.019489839507614792
1500,7.0,0.007722121050806857,0.016486117025009073,0.010517724662669158,0.12147735455874534,0.15550871795351298,0.1364024371079437,0.01952956298888799
1500,7.5,0.007685931934070977,0.016891000331027677,0.010564628444454717,0.10553780802017369,0.15949231999980762,0.12702306695911011,0.01950685346334134
1500,8.0,0.007734923874625789,0.017022342597340367,0.010636596274255068,0.10420326153844932,0.1594972064463657,0.1260530877703239,0.019617805295371136
1500,8.5,0.007707067407004336,0.017140990158760083,0.01063316649413902,0.10117663611920953,0.1610815188470107,0.12428735510636678,0.01959032064633262
1500,9.0,0.007706284551606051,0.0170838756943261,0.010621408336103554,0.0902629328918178,0.16108769298992756,0.11569692791525754,0.019456626030529233
1500,9.5,0.007742667544720224,0.017244792551264602,0.010687016214470284,0.08786979303489156,0.16138250233937873,0.11378548838413582,0.01953889115116749
2000,1.0,0.006571733830171212,0.012858631591656604,0.00869808697943147,0.1575312938025956,0.10667637998078652,0.1272095387382922,0.01628281896200806
2000,1.5,0.006602741220725475,0.013461066788280133,0.008859727975668655,0.14681262907629172,0.11501091735151776,0.12898041737822083,0.016580531154046663
2000,2.0,0.00665131921702259,0.013496725245250536,0.00891114054852356,0.14510888254588097,0.11425367217701504,0.1278459237424105,0.016660974713537613
2000,2.5,0.007168861440693179,0.013926783960010567,0.009465383270089797,0.1465068182345396,0.12014322414790327,0.13202174164370112,0.017664312359217393
2000,3.0,0.007152747260191545,0.013864225665031355,0.009436877755237303,0.14619067609445122,0.1196133610503579,0.13157330723577393,0.01761066005715016
2000,3.5,0.00714893147719433,0.013731887409092864,0.009402727227773749,0.14830906865762117,0.1225309964756503,0.13419327720255783,0.01757406532782546
2000,4.0,0.007367366107230312,0.014274273350126728,0.009718653514423489,0.14835077078423292,0.13208322123275723,0.13974516809899956,0.01817342624333208
2000,4.5,0.007166877927792145,0.014331048803847002,0.009555235594253222,0.1503119072091712,0.13493849778528427,0.14221093188941028,0.017907271176599814
2000,5.0,0.007127125250840771,0.014487461330052003,0.009554099133894054,0.14746598503773195,0.13626158205801125,0.14164255258428038,0.01790075340412248
2000,5.5,0.006923906330985375,0.013842686296425627,0.00923073563442026,0.14384018364176168,0.13526847435347633,0.13942270606508328,0.017315093769895058
2000,6.0,0.0075801717645689074,0.016096788979174468,0.010306764169671148,0.1567880759402469,0.14223439477443262,0.14915706525940375,0.019281196260907355
2000,6.5,0.007256306829861662,0.015631967877687693,0.00991165622786151,0.13745674622000004,0.14152040053374348,0.13945897724942233,0.018507914282838572
2000,7.0,0.007480102844682258,0.016056131331142587,0.010205669500691272,0.13275333316683657,0.14537776540171654,0.1387790363950791,0.019013132530039008
2000,7.5,0.007472277668941167,0.01606771850316964,0.010200719939310118,0.11094744761205826,0.14528462984160753,0.12581530789097867,0.018871404206499725
2000,8.0,0.007451784538999779,0.01609224040070764,0.010186525755298576,0.1006115349415646,0.14491701900733733,0.11876682762134852,0.01876370511911118
2000,8.5,0.007395643140555744,0.016200320622185075,0.01015527835938242,0.09607283695097468,0.1461085113205956,0.11592188486383972,0.018674579577148038
2000,9.0,0.007375898832400717,0.016182257833581223,0.01013311001812578,0.08810560840463481,0.14688753196179216,0.11014462252275926,0.018558839684621836
2000,9.5,0.007375785626923762,0.016241459406620987,0.010144580596210278,0.08274657754035203,0.14708805969194994,0.10591122106854738,0.018515660617752477
2500,1.0,0.007039224367345714,0.012487066706133518,0.009003170535941865,0.15478662205165294,0.09865590156564782,0.12050553735698825,0.016754578452705032
2500,1.5,0.006779758877892654,0.012337376167300714,0.008750729165475977,0.14806458225195823,0.09946986609432062,0.11899728921213167,0.0163026098180746
2500,2.0,0.007035647338734915,0.01281795401739494,0.009084760235972713,0.14325650140221638,0.10585712985505838,0.12174943615071987,0.01690787984855401
2500,2.5,0.006969032000502222,0.012923069700931223,0.00905497947298555,0.1383114701621028,0.10616154261576922,0.1201225351381018,0.016840501896839232
2500,3.0,0.007034977477000756,0.013071809117162601,0.009147148629864741,0.13865745345676941,0.10767458058575785,0.12121755259382433,0.017010662544634805
2500,3.5,0.007742144155833972,0.014105559070714794,0.009997139799244395,0.14187511216028562,0.11453054232501622,0.12674473634957586,0.018532506409756677
2500,4.0,0.00776280337486039,0.014143481804599057,0.010023887426423734,0.14111467845927986,0.12255005131117297,0.1311787974144307,0.018624596260303536
2500,4.5,0.007702947076168977,0.014079222046250828,0.009957823914265305,0.1396576771842861,0.12321744630145388,0.13092347507712374,0.018507962666377543
2500,5.0,0.0074999871028626625,0.014041564489615098,0.00977752713160198,0.14043759411399398,0.1251584941400969,0.13235855931093435,0.01820986404160795
2500,5.5,0.007493284759003666,0.013953689784886543,0.009750463477539037,0.13856836884225582,0.12659677645162612,0.13231232780724203,0.018162483057601205
2500,6.0,0.007670029964876543,0.014348376425667334,0.009996407113228708,0.1415996547008013,0.12923396491074082,0.13513451419527167,0.018615738214364925
