edges,resolution,precision,recall,f1rp,recovery,relevance,f1rr,f1rprr
1000,1.0,0.006576728312267147,0.013359929241763852,0.008814378704762245,0.22957109382478685,0.1197967258585592,0.1574378854749944,0.016694114235378456
1000,1.5,0.006742004520778823,0.013837244354396032,0.00906648872933334,0.23767791583117218,0.12367243919844227,0.1626909019753647,0.017175799225556967
1000,2.0,0.006742004520778823,0.013837244354396032,0.00906648872933334,0.23767791583117212,0.12367243919844227,0.1626909019753647,0.017175799225556967
1000,2.5,0.006742004520778823,0.013837244354396032,0.00906648872933334,0.23767791583117218,0.12367243919844227,0.1626909019753647,0.017175799225556967
1000,3.0,0.0067416601236372975,0.013955884676885156,0.009091496805346932,0.23587554199064442,0.1252714402902518,0.16363680342996367,0.017225937771563497
1000,3.5,0.0067156983027445525,0.013947057605600818,0.009065995988694264,0.22969307937476743,0.12541516676458245,0.1622434633249977,0.017172415272210622
1000,4.0,0.0067156586114780975,0.01394648697702209,0.009065839263007929,0.2296519110790666,0.12539417266683842,0.16221562613672982,0.017171978171387506
1000,4.5,0.007320125458947192,0.015793674225021037,0.010003692890449598,0.24201947604170648,0.1300306874432985,0.16917051480149858,0.01889032911593001
1000,5.0,0.007484384487616104,0.01676560342880601,0.010348889464237938,0.2414190818812921,0.13608732633685308,0.17405838239936766,0.019536224809045818
1000,5.5,0.00741808912313712,0.016364305092823085,0.0102085494432939,0.23819321157687684,0.13517553053393785,0.17247235835789704,0.019276153365892324
1000,6.0,0.007407670653773533,0.016357660090025965,0.010197388786175621,0.23826161839945514,0.13520228093263373,0.17251206514963546,0.01925650327054141
1000,6.5,0.007416319694921735,0.016362197507051684,0.01020646380874211,0.23841371677129347,0.13524549538053637,0.172587107083802,0.019273151169433973
1000,7.0,0.00749035963093575,0.016619012458552386,0.010326472175510065,0.2353325301424145,0.13588107907247857,0.1722848373163844,0.01948504267079789
1000,7.5,0.00746389967721044,0.016546355473427917,0.010287299031376127,0.23512439677891805,0.1359052598967087,0.17224845333715258,0.019415060602416365
1000,8.0,0.006533523045817842,0.016091351408423032,0.009293595460864869,0.23426330229163136,0.13630283225936582,0.17233496868498674,0.017636118968962985
1000,8.5,0.006617163503728007,0.016337003554208977,0.00941917198792944,0.23486457704268282,0.13637210078450057,0.17255286281860244,0.01786324028992691
1000,9.0,0.006014321237691312,0.01583985747889516,0.008718331855227262,0.23339837774249636,0.13623790664702823,0.1720486204484269,0.016595699038879055
1000,9.5,0.0059553184106087235,0.016176204419264907,0.008705632118706633,0.23424979332741422,0.13974849244960733,0.1750599225668939,0.016586430326445342
1500,1.0,0.00662933034268588,0.011790911449232281,0.008486951248665258,0.16507980876682543,0.11174013781288943,0.13327103635155615,0.01595768686508902
1500,1.5,0.006800694151019928,0.012415770544374458,0.008787865974303758,0.16309473053500304,0.11782246924111278,0.13681058964821546,0.016514915911072823
1500,2.0,0.006848564496231554,0.01254945959618433,0.00886129257576527,0.1640234710930081,0.12000513005644423,0.13860335122003126,0.01665761792830858
1500,2.5,0.006846876502900083,0.012633449406766847,0.008880720814926845,0.1659066708253513,0.12270958355048871,0.14107548120776295,0.01670957180214571
1500,3.0,0.00677012695850637,0.012460362228702778,0.008773384121024307,0.16546873921465782,0.12122979321918827,0.13993612641781777,0.016511565198798244
1500,3.5,0.0068481957892763505,0.012728309523768468,0.008905159965113303,0.17121420812360275,0.1254225778237785,0.144783980680861,0.016778342346502197
1500,4.0,0.006799041580270846,0.01276504904731811,0.008872387774009042,0.16391429666858381,0.12641796599134986,0.14274481100997316,0.016706380623910024
1500,4.5,0.007031677498297408,0.01340877623358607,0.009225449822020587,0.17182081586099637,0.13039240116892137,0.14826703458638277,0.017370099823804438
1500,5.0,0.007028713310433777,0.013586467351117284,0.00926456920076169,0.1687382890536109,0.13179645997137215,0.14799692369046713,0.017437552140987644
1500,5.5,0.007382705803100949,0.014576385903733094,0.00980124043712046,0.17200821651314854,0.13286602456546184,0.14992442680524437,0.018399614537667988
1500,6.0,0.007379976431702677,0.014783534718744962,0.009845203412131071,0.17103773596254157,0.13505888060566737,0.15093381573057044,0.01848467698783109
1500,6.5,0.007367133979556561,0.014609668250044856,0.009794999497240884,0.1711141516689248,0.13393231197892816,0.15025720128844622,0.018391114946902598
1500,7.0,0.007351853935786266,0.014760666227328105,0.009815096723278747,0.17108125504306257,0.13508752512254957,0.1509686475944798,0.018431861810531813
1500,7.5,0.007364423723078881,0.015343180390913213,0.00995205668472042,0.17011168163158133,0.14070458208103076,0.15401699245187708,0.018696038640979393
1500,8.0,0.007397354944262607,0.015429914265832664,0.01000036855336399,0.17329550813039707,0.1407181144351029,0.15531693781275935,0.018790853236715872
1500,8.5,0.007428024684673408,0.01562905481851027,0.010070052885403658,0.1717085990980175,0.1421000028398943,0.15550747983823685,0.018915229865885123
